report_year,table_number,jurisdiction,program,phase,published_count,recomputed_count,signed_difference,absolute_difference,comparison_status
2020,18,OK,STTR,Phase I,4,4,0,0,exact
2020,18,OK,STTR,Phase II,3,3,0,0,exact
2020,18,OR,SBIR,Phase I,51,51,0,0,exact
2020,18,OR,SBIR,Phase II,21,20,-1,1,unresolved
2020,18,OR,STTR,Phase I,9,9,0,0,exact
2020,18,OR,STTR,Phase II,0,0,0,0,exact
2020,18,PA,SBIR,Phase I,138,138,0,0,exact
2020,18,PA,SBIR,Phase II,90,93,3,3,unresolved
2020,18,PA,STTR,Phase I,30,29,-1,1,unresolved
2020,18,PA,STTR,Phase II,16,16,0,0,exact
2020,18,PR,SBIR,Phase I,0,0,0,0,exact
2020,18,PR,SBIR,Phase II,2,2,0,0,exact
2020,18,PR,STTR,Phase I,0,0,0,0,exact
2020,18,PR,STTR,Phase II,0,0,0,0,exact
2020,18,RI,SBIR,Phase I,15,17,2,2,unresolved
2020,18,RI,SBIR,Phase II,8,8,0,0,exact
2020,18,RI,STTR,Phase I,3,2,-1,1,unresolved
2020,18,RI,STTR,Phase II,0,0,0,0,exact
2020,18,SC,SBIR,Phase I,25,25,0,0,exact
2020,18,SC,SBIR,Phase II,10,11,1,1,unresolved
2020,18,SC,STTR,Phase I,5,6,1,1,unresolved
2020,18,SC,STTR,Phase II,0,1,1,1,unresolved
2020,18,SD,SBIR,Phase I,8,5,-3,3,unresolved
2020,18,SD,SBIR,Phase II,4,3,-1,1,unresolved
2020,18,SD,STTR,Phase I,4,4,0,0,exact
2020,18,SD,STTR,Phase II,2,2,0,0,exact
2020,18,TN,SBIR,Phase I,34,38,4,4,unresolved
2020,18,TN,SBIR,Phase II,19,18,-1,1,unresolved
2020,18,TN,STTR,Phase I,11,11,0,0,exact
2020,18,TN,STTR,Phase II,5,5,0,0,exact
2020,18,TX,SBIR,Phase I,229,239,10,10,unresolved
2020,18,TX,SBIR,Phase II,85,92,7,7,unresolved
2020,18,TX,STTR,Phase I,46,47,1,1,unresolved
2020,18,TX,STTR,Phase II,13,13,0,0,exact
2020,18,UT,SBIR,Phase I,57,57,0,0,exact
2020,18,UT,SBIR,Phase II,36,41,5,5,unresolved
2020,18,UT,STTR,Phase I,5,3,-2,2,unresolved
2020,18,UT,STTR,Phase II,2,1,-1,1,unresolved
2020,18,VA,SBIR,Phase I,243,249,6,6,unresolved
2020,18,VA,SBIR,Phase II,152,154,2,2,unresolved
2020,18,VA,STTR,Phase I,29,31,2,2,unresolved
2020,18,VA,STTR,Phase II,18,17,-1,1,unresolved
2020,18,VT,SBIR,Phase I,14,14,0,0,exact
2020,18,VT,SBIR,Phase II,9,9,0,0,exact
2020,18,VT,STTR,Phase I,0,0,0,0,exact
2020,18,VT,STTR,Phase II,2,2,0,0,exact
2020,18,WA,SBIR,Phase I,82,80,-2,2,unresolved
2020,18,WA,SBIR,Phase II,51,50,-1,1,unresolved
2020,18,WA,STTR,Phase I,16,19,3,3,unresolved
2020,18,WA,STTR,Phase II,2,2,0,0,exact
2020,18,WI,SBIR,Phase I,18,21,3,3,unresolved
2020,18,WI,SBIR,Phase II,11,14,3,3,unresolved
2020,18,WI,STTR,Phase I,8,7,-1,1,unresolved
2020,18,WI,STTR,Phase II,2,2,0,0,exact
2020,18,WV,SBIR,Phase I,2,6,4,4,unresolved
2020,18,WV,SBIR,Phase II,3,2,-1,1,unresolved
2020,18,WV,STTR,Phase I,3,4,1,1,unresolved
2020,18,WV,STTR,Phase II,3,3,0,0,exact
2020,18,WY,SBIR,Phase I,7,7,0,0,exact
2020,18,WY,SBIR,Phase II,5,6,1,1,unresolved
2020,18,WY,STTR,Phase I,5,5,0,0,exact
2020,18,WY,STTR,Phase II,2,2,0,0,exact
2021,18,AK,SBIR,Phase I,3,1,-2,2,unresolved
2021,18,AK,SBIR,Phase II,0,0,0,0,exact
2021,18,AK,STTR,Phase I,1,0,-1,1,unresolved
2021,18,AK,STTR,Phase II,0,0,0,0,exact
2021,18,AL,SBIR,Phase I,56,59,3,3,unresolved
2021,18,AL,SBIR,Phase II,35,37,2,2,unresolved
2021,18,AL,STTR,Phase I,20,20,0,0,exact
2021,18,AL,STTR,Phase II,6,6,0,0,exact
2021,18,AR,SBIR,Phase I,8,8,0,0,exact
2021,18,AR,SBIR,Phase II,5,5,0,0,exact
2021,18,AR,STTR,Phase I,6,7,1,1,unresolved
2021,18,AR,STTR,Phase II,0,1,1,1,unresolved
2021,18,AZ,SBIR,Phase I,60,61,1,1,unresolved
2021,18,AZ,SBIR,Phase II,44,45,1,1,unresolved
2021,18,AZ,STTR,Phase I,17,17,0,0,exact
2021,18,AZ,STTR,Phase II,11,9,-2,2,unresolved
2021,18,CA,SBIR,Phase I,750,764,14,14,unresolved
2021,18,CA,SBIR,Phase II,427,425,-2,2,unresolved
2021,18,CA,STTR,Phase I,165,163,-2,2,unresolved
2021,18,CA,STTR,Phase II,43,43,0,0,exact
2021,18,CO,SBIR,Phase I,180,181,1,1,unresolved
2021,18,CO,SBIR,Phase II,107,111,4,4,unresolved
2021,18,CO,STTR,Phase I,41,45,4,4,unresolved
2021,18,CO,STTR,Phase II,11,11,0,0,exact
2021,18,CT,SBIR,Phase I,34,33,-1,1,unresolved
2021,18,CT,SBIR,Phase II,13,15,2,2,unresolved
2021,18,CT,STTR,Phase I,10,10,0,0,exact
2021,18,CT,STTR,Phase II,2,2,0,0,exact
2021,18,DC,SBIR,Phase I,19,18,-1,1,unresolved
2021,18,DC,SBIR,Phase II,7,6,-1,1,unresolved
2021,18,DC,STTR,Phase I,2,2,0,0,exact
2021,18,DC,STTR,Phase II,1,1,0,0,exact
2021,18,DE,SBIR,Phase I,24,22,-2,2,unresolved
2021,18,DE,SBIR,Phase II,9,6,-3,3,unresolved
2021,18,DE,STTR,Phase I,7,8,1,1,unresolved
2021,18,DE,STTR,Phase II,4,6,2,2,unresolved
2021,18,FL,SBIR,Phase I,113,117,4,4,unresolved
2021,18,FL,SBIR,Phase II,75,76,1,1,unresolved
2021,18,FL,STTR,Phase I,32,31,-1,1,unresolved
2021,18,FL,STTR,Phase II,4,5,1,1,unresolved
2021,18,GA,SBIR,Phase I,32,31,-1,1,unresolved
2021,18,GA,SBIR,Phase II,21,23,2,2,unresolved
2021,18,GA,STTR,Phase I,20,20,0,0,exact
2021,18,GA,STTR,Phase II,10,10,0,0,exact
2021,18,HI,SBIR,Phase I,41,40,-1,1,unresolved
2021,18,HI,SBIR,Phase II,15,16,1,1,unresolved
2021,18,HI,STTR,Phase I,4,4,0,0,exact
2021,18,HI,STTR,Phase II,2,2,0,0,exact
2021,18,IA,SBIR,Phase I,12,12,0,0,exact
2021,18,IA,SBIR,Phase II,3,4,1,1,unresolved
2021,18,IA,STTR,Phase I,5,5,0,0,exact
2021,18,IA,STTR,Phase II,1,1,0,0,exact
2021,18,ID,SBIR,Phase I,6,5,-1,1,unresolved
2021,18,ID,SBIR,Phase II,4,4,0,0,exact
2021,18,ID,STTR,Phase I,1,1,0,0,exact
2021,18,ID,STTR,Phase II,0,0,0,0,exact
2021,18,IL,SBIR,Phase I,79,80,1,1,unresolved
2021,18,IL,SBIR,Phase II,45,48,3,3,unresolved
2021,18,IL,STTR,Phase I,26,27,1,1,unresolved
2021,18,IL,STTR,Phase II,7,7,0,0,exact
2021,18,IN,SBIR,Phase I,36,38,2,2,unresolved
2021,18,IN,SBIR,Phase II,17,16,-1,1,unresolved
2021,18,IN,STTR,Phase I,21,23,2,2,unresolved
2021,18,IN,STTR,Phase II,3,3,0,0,exact
2021,18,KS,SBIR,Phase I,11,8,-3,3,unresolved
2021,18,KS,SBIR,Phase II,4,4,0,0,exact
2021,18,KS,STTR,Phase I,11,11,0,0,exact
2021,18,KS,STTR,Phase II,1,1,0,0,exact
2021,18,KY,SBIR,Phase I,20,20,0,0,exact
2021,18,KY,SBIR,Phase II,5,5,0,0,exact
2021,18,KY,STTR,Phase I,4,3,-1,1,unresolved
2021,18,KY,STTR,Phase II,3,2,-1,1,unresolved
2021,18,LA,SBIR,Phase I,16,15,-1,1,unresolved
2021,18,LA,SBIR,Phase II,5,7,2,2,unresolved
2021,18,LA,STTR,Phase I,9,8,-1,1,unresolved
2021,18,LA,STTR,Phase II,1,1,0,0,exact
2021,18,MA,SBIR,Phase I,324,330,6,6,unresolved
2021,18,MA,SBIR,Phase II,244,239,-5,5,unresolved
2021,18,MA,STTR,Phase I,81,78,-3,3,unresolved
2021,18,MA,STTR,Phase II,25,27,2,2,unresolved
2021,18,MD,SBIR,Phase I,148,156,8,8,unresolved
2021,18,MD,SBIR,Phase II,93,99,6,6,unresolved
2021,18,MD,STTR,Phase I,38,40,2,2,unresolved
2021,18,MD,STTR,Phase II,13,14,1,1,unresolved
2021,18,ME,SBIR,Phase I,9,8,-1,1,unresolved
2021,18,ME,SBIR,Phase II,7,8,1,1,unresolved
2021,18,ME,STTR,Phase I,0,0,0,0,exact
2021,18,ME,STTR,Phase II,0,0,0,0,exact
2021,18,MH,SBIR,Phase I,0,0,0,0,exact
2021,18,MH,SBIR,Phase II,0,0,0,0,exact
2021,18,MH,STTR,Phase I,0,0,0,0,exact
2021,18,MH,STTR,Phase II,0,0,0,0,exact
2021,18,MI,SBIR,Phase I,53,50,-3,3,unresolved
2021,18,MI,SBIR,Phase II,29,29,0,0,exact
2021,18,MI,STTR,Phase I,18,18,0,0,exact
2021,18,MI,STTR,Phase II,9,8,-1,1,unresolved
2021,18,MN,SBIR,Phase I,41,40,-1,1,unresolved
2021,18,MN,SBIR,Phase II,21,24,3,3,unresolved
2021,18,MN,STTR,Phase I,8,7,-1,1,unresolved
2021,18,MN,STTR,Phase II,3,2,-1,1,unresolved
2021,18,MO,SBIR,Phase I,19,22,3,3,unresolved
2021,18,MO,SBIR,Phase II,22,20,-2,2,unresolved
2021,18,MO,STTR,Phase I,6,6,0,0,exact
