report_year,jurisdiction,program,phase,published_count,recomputed_count,delta,tolerance,within_tolerance,published_dollars,recomputed_dollars,dollar_delta,classification
2020,MN,SBIR,Phase II,29,30,1,6,True,37249934,32945400,-4304534,revised_upstream
2020,MN,STTR,Phase I,7,7,0,6,True,2305621,2357621,52000,revised_upstream
2020,MN,STTR,Phase II,0,0,0,6,True,4954458,0,-4954458,revised_upstream
2020,MO,SBIR,Phase I,32,31,-1,6,True,8418952,8126951,-292001,revised_upstream
2020,MO,SBIR,Phase II,16,17,1,6,True,18775096,28696820,9921724,revised_upstream
2020,MO,STTR,Phase I,5,5,0,6,True,1528130,923326,-604804,revised_upstream
2020,MO,STTR,Phase II,3,3,0,6,True,2153974,4149399,1995425,revised_upstream
2020,MS,SBIR,Phase I,3,3,0,6,True,381468,381468,0,exact
2020,MS,SBIR,Phase II,2,1,-1,6,True,2152559,1000000,-1152559,revised_upstream
2020,MS,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2020,MS,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,MT,SBIR,Phase I,8,10,2,6,True,1842961,1335200,-507761,revised_upstream
2020,MT,SBIR,Phase II,7,9,2,6,True,11058324,9964221,-1094103,revised_upstream
2020,MT,STTR,Phase I,6,6,0,6,True,837877,837877,0,exact
2020,MT,STTR,Phase II,2,2,0,6,True,2251383,2197070,-54313,revised_upstream
2020,NC,SBIR,Phase I,96,109,13,19,True,20547876,22464565,1916689,revised_upstream
2020,NC,SBIR,Phase II,73,79,6,15,True,83974040,118042978,34068938,revised_upstream
2020,NC,STTR,Phase I,31,32,1,6,True,7498531,8450052,951521,revised_upstream
2020,NC,STTR,Phase II,10,11,1,6,True,9606510,13690294,4083784,revised_upstream
2020,ND,SBIR,Phase I,2,4,2,6,True,349969,599169,249200,revised_upstream
2020,ND,SBIR,Phase II,0,0,0,6,True,0,0,0,exact
2020,ND,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2020,ND,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,NE,SBIR,Phase I,12,13,1,6,True,1860796,2360931,500135,revised_upstream
2020,NE,SBIR,Phase II,3,3,0,6,True,5213834,4008530,-1205304,revised_upstream
2020,NE,STTR,Phase I,2,2,0,6,True,561321,613321,52000,revised_upstream
2020,NE,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,NH,SBIR,Phase I,37,40,3,7,True,7291090,6775612,-515478,revised_upstream
2020,NH,SBIR,Phase II,40,47,7,8,True,43702466,50227325,6524859,revised_upstream
2020,NH,STTR,Phase I,8,7,-1,6,True,1597980,1342919,-255061,revised_upstream
2020,NH,STTR,Phase II,2,2,0,6,True,4776063,3231973,-1544090,revised_upstream
2020,NJ,SBIR,Phase I,67,68,1,13,True,10414260,10471465,57205,revised_upstream
2020,NJ,SBIR,Phase II,37,39,2,7,True,45989768,48313776,2324008,revised_upstream
2020,NJ,STTR,Phase I,24,23,-1,6,True,4355125,4161609,-193516,revised_upstream
2020,NJ,STTR,Phase II,1,1,0,6,True,2573137,1050000,-1523137,revised_upstream
2020,NM,SBIR,Phase I,33,34,1,7,True,4614910,5027204,412294,revised_upstream
2020,NM,SBIR,Phase II,12,14,2,6,True,23833561,20925184,-2908377,revised_upstream
2020,NM,STTR,Phase I,8,6,-2,6,True,1551414,1202742,-348672,revised_upstream
2020,NM,STTR,Phase II,6,5,-1,6,True,4825285,3998939,-826346,revised_upstream
2020,NV,SBIR,Phase I,11,15,4,6,True,1330687,1253043,-77644,revised_upstream
2020,NV,SBIR,Phase II,2,3,1,6,True,4639076,3787742,-851334,revised_upstream
2020,NV,STTR,Phase I,0,1,1,6,True,0,49033,49033,revised_upstream
2020,NV,STTR,Phase II,1,1,0,6,True,747570,1499996,752426,revised_upstream
2020,NY,SBIR,Phase I,182,172,-10,36,True,33454032,29897555,-3556477,revised_upstream
2020,NY,SBIR,Phase II,100,99,-1,20,True,130994743,138207140,7212397,revised_upstream
2020,NY,STTR,Phase I,32,32,0,6,True,7674048,7790122,116074,revised_upstream
2020,NY,STTR,Phase II,17,17,0,6,True,15703001,22587297,6884296,revised_upstream
2020,OH,SBIR,Phase I,150,146,-4,30,True,24119957,20922961,-3196996,revised_upstream
2020,OH,SBIR,Phase II,83,82,-1,17,True,97381943,85732582,-11649361,revised_upstream
2020,OH,STTR,Phase I,37,37,0,7,True,6847134,6420824,-426310,revised_upstream
2020,OH,STTR,Phase II,12,11,-1,6,True,10331216,7890803,-2440413,revised_upstream
2020,OK,SBIR,Phase I,11,11,0,6,True,2172065,2172065,0,exact
2020,OK,SBIR,Phase II,7,9,2,6,True,8234269,9699710,1465441,revised_upstream
2020,OK,STTR,Phase I,4,4,0,6,True,751324,592806,-158518,revised_upstream
2020,OK,STTR,Phase II,3,3,0,6,True,2063684,949999,-1113685,revised_upstream
2020,OR,SBIR,Phase I,51,51,0,10,True,9429784,9750865,321081,revised_upstream
2020,OR,SBIR,Phase II,21,20,-1,6,True,31441560,29809011,-1632549,revised_upstream
2020,OR,STTR,Phase I,9,9,0,6,True,1844409,1644536,-199873,revised_upstream
2020,OR,STTR,Phase II,0,0,0,6,True,327912,0,-327912,revised_upstream
2020,PA,SBIR,Phase I,138,138,0,28,True,26071705,26626908,555203,revised_upstream
2020,PA,SBIR,Phase II,90,93,3,18,True,110962970,107881550,-3081420,revised_upstream
2020,PA,STTR,Phase I,30,29,-1,6,True,7066558,6334716,-731842,revised_upstream
2020,PA,STTR,Phase II,16,16,0,6,True,18441610,18078007,-363603,revised_upstream
2020,PR,SBIR,Phase I,0,0,0,6,True,0,0,0,exact
2020,PR,SBIR,Phase II,2,2,0,6,True,1552513,2286275,733762,revised_upstream
2020,PR,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2020,PR,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,RI,SBIR,Phase I,15,17,2,6,True,2459860,2443102,-16758,revised_upstream
2020,RI,SBIR,Phase II,8,8,0,6,True,6460694,7536547,1075853,revised_upstream
2020,RI,STTR,Phase I,3,2,-1,6,True,993632,374995,-618637,revised_upstream
2020,RI,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,SC,SBIR,Phase I,25,25,0,6,True,6334301,5941986,-392315,revised_upstream
2020,SC,SBIR,Phase II,10,11,1,6,True,10586575,13047983,2461408,revised_upstream
2020,SC,STTR,Phase I,5,6,1,6,True,1719007,1750150,31143,revised_upstream
2020,SC,STTR,Phase II,0,1,1,6,True,0,1484562,1484562,revised_upstream
2020,SD,SBIR,Phase I,8,5,-3,6,True,1233206,784576,-448630,revised_upstream
2020,SD,SBIR,Phase II,4,3,-1,6,True,5254179,2882798,-2371381,revised_upstream
2020,SD,STTR,Phase I,4,4,0,6,True,341457,341457,0,exact
2020,SD,STTR,Phase II,2,2,0,6,True,499978,499978,0,exact
2020,TN,SBIR,Phase I,34,38,4,7,True,6055758,6422708,366950,revised_upstream
2020,TN,SBIR,Phase II,19,18,-1,6,True,22831642,17496154,-5335488,revised_upstream
2020,TN,STTR,Phase I,11,11,0,6,True,1866666,1891666,25000,revised_upstream
2020,TN,STTR,Phase II,5,5,0,6,True,2691931,3449938,758007,revised_upstream
2020,TX,SBIR,Phase I,229,239,10,46,True,32275585,32722681,447096,revised_upstream
2020,TX,SBIR,Phase II,85,92,7,17,True,109077806,101569692,-7508114,revised_upstream
2020,TX,STTR,Phase I,46,47,1,9,True,8193877,8182118,-11759,revised_upstream
2020,TX,STTR,Phase II,13,13,0,6,True,11951453,10169527,-1781926,revised_upstream
2020,UT,SBIR,Phase I,57,57,0,11,True,9417648,9356808,-60840,revised_upstream
2020,UT,SBIR,Phase II,36,41,5,7,True,41826414,50417759,8591345,revised_upstream
2020,UT,STTR,Phase I,5,3,-2,6,True,952628,602676,-349952,revised_upstream
2020,UT,STTR,Phase II,2,1,-1,6,True,2378160,998957,-1379203,revised_upstream
2020,VA,SBIR,Phase I,243,249,6,49,True,34525147,34891215,366068,revised_upstream
2020,VA,SBIR,Phase II,152,154,2,30,True,178581895,176383121,-2198774,revised_upstream
2020,VA,STTR,Phase I,29,31,2,6,True,4995946,4984095,-11851,revised_upstream
2020,VA,STTR,Phase II,18,17,-1,6,True,17774330,16842125,-932205,revised_upstream
2020,VT,SBIR,Phase I,14,14,0,6,True,2632286,2681435,49149,revised_upstream
2020,VT,SBIR,Phase II,9,9,0,6,True,10645829,11022280,376451,revised_upstream
2020,VT,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2020,VT,STTR,Phase II,2,2,0,6,True,2857148,1501438,-1355710,revised_upstream
2020,WA,SBIR,Phase I,82,80,-2,16,True,15044407,15248904,204497,revised_upstream
2020,WA,SBIR,Phase II,51,50,-1,10,True,62050779,62317070,266291,revised_upstream
2020,WA,STTR,Phase I,16,19,3,6,True,3502129,5575137,2073008,revised_upstream
2020,WA,STTR,Phase II,2,2,0,6,True,3751037,4103251,352214,revised_upstream
2020,WI,SBIR,Phase I,18,21,3,6,True,3668578,4237637,569059,revised_upstream
2020,WI,SBIR,Phase II,11,14,3,6,True,18901351,22755474,3854123,revised_upstream
2020,WI,STTR,Phase I,8,7,-1,6,True,1944025,1461724,-482301,revised_upstream
2020,WI,STTR,Phase II,2,2,0,6,True,3189854,2608414,-581440,revised_upstream
2020,WV,SBIR,Phase I,2,6,4,6,True,289366,810680,521314,revised_upstream
2020,WV,SBIR,Phase II,3,2,-1,6,True,6184429,3662622,-2521807,revised_upstream
2020,WV,STTR,Phase I,3,4,1,6,True,323248,467248,144000,revised_upstream
2020,WV,STTR,Phase II,3,3,0,6,True,2211212,2697998,486786,revised_upstream
2020,WY,SBIR,Phase I,7,7,0,6,True,1267203,1273947,6744,revised_upstream
2020,WY,SBIR,Phase II,5,6,1,6,True,4113128,5522939,1409811,revised_upstream
